Ref#,Property Name,State,Location,Lat,Long,City ,Street & Number,Restricted Address,Level of Significance - Local,Level of Significance - State,Level of Significance - National,Level of Significance - International,Level of Significance - Not Indicated,Name of Multiple Property Listing,Other Names,orig Ref#,Request Type,External Link,County,Total #,1960s,1970s,1970s_change,1980s,1980s_change,1990s,1990s_change,2000s,2000s_change,2010s,2010s_change
81000043,Fern School,WISCONSIN,"Florence County, WI, USA",45.851303,-88.398194,Florence,SW of Florence on WI 101,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,81000043,Single,https://catalog.archives.gov/id/106780917,Florence,6,0,0,0,3,-100,1,-100,0.5,-100,3,83.34
72000051,Octagon House,WISCONSIN,"Fond du Lac County, WI, USA",43.762674,-88.488206,Fond du Lac,276 Linden St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,72000051,Single,https://catalog.archives.gov/id/106780967,Fond Du Lac,50,0,11,100,8,35.72,9,35.72,14,35.72,8,-75
88001573,Franklin Lake Campground,WISCONSIN,"Forest County, WI, USA",45.633723,-88.838565,Alvin,National Forest Rd. 2181,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,, Franklin Lake Campground and Recreation Facility;Forest Serv,88001573,Single,https://catalog.archives.gov/id/106781010,Forest,10,0,0,0,1,-50,3,-50,2,-50,4,50
70000034,Stonefield,WISCONSIN,"Grant County, WI, USA",42.87612,-90.676633,Cassville,"2.5 mi. W of Cassville, on CR VV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,, Nelson Dewey Plantation,70000034,Single,https://catalog.archives.gov/id/106781068,Grant,34,0,8,100,11,12.5,7,12.5,8,12.5,0.5,-1500
75000066,"West, Gen. Francis H., House",WISCONSIN,"Green County, WI, USA",42.680497,-89.602179,Monroe,1410 17th Ave.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,, The Octagon House,75000066,Single,https://catalog.archives.gov/id/106781120,Green,27,0,11,100,4,50,3,50,6,50,3,-100
78000098,Hamilton-Brooks Site,WISCONSIN,"Green Lake County, WI, USA",43.800956,-89.030508,Berlin,Address Restricted,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,, The Mascoutin Village,78000098,Single,,Green Lake,15,0,1,100,1,-100,8,-100,4,-100,1,-300
71000038,Pendarvis,WISCONSIN,"Iowa County, WI, USA",42.990172,-90.139396,Mineral Point,114 Shake Rag St.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,71000038,Single,https://catalog.archives.gov/id/106781171,Iowa,38,0,10,100,9,-700,16,-700,2,-700,1,-100
77000031,Old Iron County Courthouse,WISCONSIN,"Iron County, WI, USA",46.300725,-90.264435,Hurley,303 Iron St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,77000031,Single,https://catalog.archives.gov/id/106781189,Iron,5,0,2,100,1,-300,2,-300,0.5,-300,0.5,0
75000067,Silver Mound Archeological District,WISCONSIN,"Jackson County, WI, USA",44.323019,-90.941513,Alma Center,Address Restricted,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,75000067,Single,,Jackson,5,0,3,100,1,75,0.5,75,2,75,0.5,-300
66000022,Aztalan,WISCONSIN,"Jefferson County, WI, USA",43.020209,-88.775848,Lake Mills,"Near Lake Mills on WI 89, Aztalan State Park",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,66000022,Single,https://catalog.archives.gov/id/106779869,Jefferson,60,1,15,93.34,17,75,3,75,12,75,12,0
76000066,"Boorman, Benjamin, House",WISCONSIN,"Juneau County, WI, USA",43.915519,-90.145385,Mauston,211 N. Union St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,76000066,Single,https://catalog.archives.gov/id/106781284,Juneau,8,0,3,100,2,-100,2,-100,1,-100,0.5,-100
74000094,"Weed, Justin, House",WISCONSIN,"Kenosha County, WI, USA",42.580337,-87.653207,Kenosha,3509 Washington Rd.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,74000094,Single,https://catalog.archives.gov/id/106781332,Kenosha,27,0,7,100,7,77.78,2,77.78,9,77.78,2,-350
79000091,Pilgrim Family Farmstead,WISCONSIN,"Kewaunee County, WI, USA",44.501591,-87.307247,Kewaunee,SW of Kewanee on Church Rd.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,79000091,Single,https://catalog.archives.gov/id/106781349,Kewaunee,12,0,1,100,1,-25,5,-25,4,-25,1,-300
71000040,"Garland, Hamlin, House",WISCONSIN,"La Crosse County, WI, USA",43.898033,-91.115218,West Salem,357 W. Garland St.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,71000040,Single,https://catalog.archives.gov/id/106779871,La Crosse,60,0,9,100,25,-140,12,-140,5,-140,9,44.45
70000036,First Capitol,WISCONSIN,"Lafayette County, WI, USA",42.661137,-90.131729,Belmont,N of Belmont off U.S. 151,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,, Wisconsin Territorial Capitol,70000036,Single,https://catalog.archives.gov/id/106781438,Lafayette,11,0,3,100,2,-300,4,-300,1,-300,1,0
77000034,Langlade County Courthouse,WISCONSIN,"Langlade County, WI, USA",45.27017,-89.079428,Antigo,800 Clermont St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,77000034,Single,https://catalog.archives.gov/id/106781464,Langlade,5,0,2,100,1,0,1,0,1,0,0.5,-100
74000096,"Scott, T. B., Free Library",WISCONSIN,"Lincoln County, WI, USA",45.337752,-89.734598,Merrill,E. 1st St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,74000096,Single,https://catalog.archives.gov/id/106781474,Lincoln,6,0,3,100,1,-100,2,-100,1,-100,0.5,-100
77000035,"Vilas, Joseph, Jr., House",WISCONSIN,"Manitowoc County, WI, USA",44.110851,-87.512333,Manitowoc,610-616 N. 8th St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,, Vilas-Rahr House,77000035,Single,https://catalog.archives.gov/id/106781497,Manitowoc,36,0,1,100,9,42.86,4,42.86,7,42.86,15,53.34
74000097,"Stewart, Hiram C., House",WISCONSIN,"Marathon County, WI, USA",44.902391,-89.759064,Wausau,521 Grant St.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,74000097,Single,https://catalog.archives.gov/id/106781520,Marathon,30,0,3,100,16,0,3,0,3,0,5,40
70000037,Peshtigo Fire Cemetery,WISCONSIN,"Marinette County, WI, USA",45.458308,-88.091771,Peshtigo,Oconto Ave. between Peck and Ellis Aves.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,70000037,Single,https://catalog.archives.gov/id/106781549,Marinette,12,0,2,100,1,-66.67,5,-66.67,3,-66.67,1,-200
82000685,Marquette County Courthouse and Marquette County Sheriff's Office and Jail,WISCONSIN,"Marquette County, WI, USA",43.812538,-89.410377,Montello,77 W. Park St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE, County Courthouses of Wisconsin TR, 1030741846;1020751833;0502783014;1031771749;0902712;02047721,82000685,Multiple,https://catalog.archives.gov/id/106779071,Marquette,4,0,0,0,2,0,1,0,1,0,0.5,-100
602,Saint Joseph of the Lake Church and Cemetery,WISCONSIN,"Menominee County, WI, USA",45.015461,-88.664904,Menominee Reservation,Address Restricted,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,, South Branch Church; BME 001,602,Single,,Menominee,1,0,0,0,0.5,50,0.5,50,1,50,0.5,-100
72000059,"Church, Benjamin, House",WISCONSIN,"Milwaukee County, WI, USA",43.017071,-87.580553,Shorewood,"Parkway Dr., Eastabrook Park",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,, Kilbourntown House,72000059,Single,https://catalog.archives.gov/id/106781609,Milwaukee,268,0,43,100,115,-27.59,37,-27.59,29,-27.59,44,34.1
76000068,Tomah Public Library,WISCONSIN,"Monroe County, WI, USA",43.943076,-90.617823,Tomah,716 Superior Ave.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,76000068,Single,https://catalog.archives.gov/id/106781888,Monroe,13,0,1,100,5,33.34,2,33.34,3,33.34,2,-50
66000023,Oconto Site,WISCONSIN,"Oconto County, WI, USA",44.850043,-88.074017,Oconto,Copper Culture State Park,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,66000023,Single,https://catalog.archives.gov/id/106779891,Oconto,26,1,7,85.72,5,57.15,3,57.15,7,57.15,3,-133.34
73000091,First National Bank,WISCONSIN,"Oneida County, WI, USA",45.72735,-89.521718,Rhinelander,8 W. Davenport St.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,73000091,Single,https://catalog.archives.gov/id/106781938,Oneida,25,0,1,100,2,53.85,6,53.85,13,53.85,3,-333.34
72000064,"Grignon, Charles A., House",WISCONSIN,"Outagamie County, WI, USA",44.416758,-88.464925,Kaukauna,Augustine St.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,72000064,Single,https://catalog.archives.gov/id/106781996,Outagamie,50,0,5,100,23,-140,12,-140,5,-140,5,0
73000092,Covered Bridge,WISCONSIN,"Ozaukee County, WI, USA",43.367477,-87.594387,Cedarburg,1 Mi. N of Five Corners over Cedar Creek,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,73000092,Single,https://catalog.archives.gov/id/106782042,Ozaukee,41,0,9,100,8,54.55,5,54.55,11,54.55,8,-37.5
80000173,Durand Free Library,WISCONSIN,"Pepin County, WI, USA",44.482114,-92.140142,Durand,315 W. 2nd Ave.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,80000173,Single,https://catalog.archives.gov/id/106782088,Pepin,2,0,0,0,2,-100,1,-100,0.5,-100,0.5,0
75000075,Diamond Bluff Site-Mero Mound Group,WISCONSIN,"Pierce County, WI, USA",44.713818,-92.428922,Diamond Bluff,Address Restricted,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,, 47-Pi-2;See Also:Mero Archeological District (Boundary Incre,75000075,Single,,Pierce,10,0,2,100,3,0,2,0,2,0,1,-100
78000125,Seven Pines Lodge,WISCONSIN,"Polk County, WI, USA",45.446912,-92.39773,Lewis,SE of Lewis of WI 35,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,, Charles E. Lewis Estate,78000125,Single,https://catalog.archives.gov/id/106782121,Polk,14,0,1,100,6,83.34,1,83.34,6,83.34,1,-500
74000118,"Morgan, J. H., House",WISCONSIN,"Portage County, WI, USA",44.465006,-89.501433,Plover,1308 Madison Ave.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,74000118,Single,https://catalog.archives.gov/id/106782145,Portage,20,0,4,100,4,-100,6,-100,3,-100,3,0
78000127,"Johnson, Albin, Log House",WISCONSIN,"Price County, WI, USA",45.680327,-90.361387,Ogema,E of Ogema,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,, Our Yesterday House,78000127,Single,https://catalog.archives.gov/id/106782169,Price,13,0,3,100,3,50,2,50,4,50,1,-300
73000093,First Presbyterian Church,WISCONSIN,"Racine County, WI, USA",42.75499,-87.696113,Racine,716 College Ave.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,73000093,Single,https://catalog.archives.gov/id/106782195,Racine,56,0,18,100,21,20,4,20,5,20,8,37.5
74000122,"A. D. German Wholesale Company and Warehouse, Additional Documentation",WISCONSIN,"Richland County, WI, USA",43.377323,-90.429451,Richland Center,"177 E. Haseltine St., 316 S. Church St.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,100003974,Add.Doc.,,Richland,16,0,1,100,3,0,6,0,6,0,0.5,-1100
70000085,Tallman House,WISCONSIN,"Rock County, WI, USA",42.671864,-89.071555,Janesville,440 N. Jackson St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,, Lincoln-Tallman House;Tallman Homestead,70000085,Single,https://catalog.archives.gov/id/106782429,Rock,141,0,39,100,59,-77.78,16,-77.78,9,-77.78,18,50
79000113,Flambeau Mission Church,WISCONSIN,"Rusk County, WI, USA",45.465365,-91.133149,Ladysmith,W of Ladysmith,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,, St. Francis of Assisi Mission Church,79000113,Single,https://catalog.archives.gov/id/106782442,Rusk,3,0,1,100,1,0,0.5,0,0.5,0,1,50
69000032,Ringling Brothers Circus Headquarters,WISCONSIN,"Sauk County, WI, USA",43.416993,-89.948362,Baraboo,"Bounded roughly by Water, Brian, Lynn, and East Sts.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,, Ringlingville,69000032,Single,https://catalog.archives.gov/id/106779901,Sauk,59,1,7,85.72,21,-120,11,-120,5,-120,14,64.29
79000115,Hall-Raynor Stopping Place,WISCONSIN,"Sawyer County, WI, USA",45.897783,-91.168025,Ojibwa,N of Ojibwa on WI G,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,, The Raynor Place,79000115,Single,https://catalog.archives.gov/id/106782511,Sawyer,4,0,1,100,2,-100,1,-100,0.5,-100,1,50
80000195,Lutheran Indian Mission,WISCONSIN,"Shawano County, WI, USA",44.811306,-88.863563,Gresham,NE of Gresham on WI G,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,, Immanuel Mohican Lutheran Church,80000195,Single,https://catalog.archives.gov/id/106782519,Shawano,6,0,0,0,1,0,2,0,2,0,1,-100
71000041,"Wade, Sylvanus, House",WISCONSIN,"Sheboygan County, WI, USA",43.718011,-87.634801,Greenbush,At jct. of WI 23 and Kettle Maraine Dr. in Old Wade House State Park,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,, Old Wade House,71000041,Single,https://catalog.archives.gov/id/106782584,Sheboygan,57,0,6,100,20,-14.29,8,-14.29,7,-14.29,16,56.25
74000124,"Moffat, John S., House",WISCONSIN,"St. Croix County, WI, USA",45.035871,-92.45279,Hudson,1004 3rd St.,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,74000124,Single,https://catalog.archives.gov/id/106782596,St. Croix,31,0,3,100,25,66.67,1,66.67,3,66.67,0.5,-500
74000127,Jump River Town Hall,WISCONSIN,"Taylor County, WI, USA",45.204124,-90.501241,Jump River,S of WI 73,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,, McKinley Town Hall,74000127,Single,https://catalog.archives.gov/id/106782607,Taylor,8,0,1,100,4,-100,2,-100,1,-100,0.5,-100
74000128,Schwert Mound Group,WISCONSIN,"Trempealeau County, WI, USA",44.303277,-91.354078,Trempealeau,Address Restricted,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,, Trempealeau Lakes Mound Group Tr 31 and Second Lake village,74000128,Single,,Trempealeau,16,0,2,100,9,-50,3,-50,2,-50,0.5,-300
74000129,Hanson Petroglyphs,WISCONSIN,"Vernon County, WI, USA",43.574687,-90.834376,Viola,Address Restricted,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,, VE-48,74000129,Single,,Vernon,24,0,5,100,6,-50,6,-50,4,-50,3,-33.34
78000340,Strawberry Island Site,WISCONSIN,"Vilas County, WI, USA",46.059476,-89.514756,Lac du Flambeau,Address Restricted,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,, 47 Vi-25,78000340,Single,,Vilas,18,0,1,100,0.5,-80,9,-80,5,-80,3,-66.67
72000066,"Webster, Joseph P., House",WISCONSIN,"Walworth County, WI, USA",42.668925,-88.541918,Elkhorn,9 E. Rockwell St.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,72000066,Single,https://catalog.archives.gov/id/106782749,Walworth,47,0,10,100,13,-50,9,-50,6,-50,9,33.34
82000716,"Siegner, George V., House",WISCONSIN,"Washburn County, WI, USA",45.898284,-91.787812,Spooner,513 Dale St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,82000716,Single,https://catalog.archives.gov/id/106782757,Washburn,2,0,0,0,2,-100,1,-100,0.5,-100,0.5,0
70000038,Lizard Mound State Park,WISCONSIN,"Washington County, WI, USA",43.368033,-88.230774,West Bend,NE of West Bend,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,70000038,Single,https://catalog.archives.gov/id/106782771,Washington,28,0,3,100,12,0,5,0,5,0,3,-66.67
72000067,Chapel of St. Mary the Virgin,WISCONSIN,"Waukesha County, WI, USA",43.017596,-88.304544,Nashotah,2 mi. SW of Nashotah on Nashotah House Rd.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,72000067,Single,https://catalog.archives.gov/id/106782818,Waukesha,155,0,18,100,99,-575,27,-575,4,-575,7,42.86
76000081,"Kasper, Philip H., Cheese Factory",WISCONSIN,"Waupaca County, WI, USA",44.461208,-88.964814,Bear Creek,W of Bear Creek on WI 22,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,, Nicholson Cheese Factory,76000081,Single,https://catalog.archives.gov/id/106782945,Waupaca,25,0,2,100,11,77.78,2,77.78,9,77.78,1,-800
82000729,"Waushara County Courthouse, Waushara County Sheriff's Residence and Jail",WISCONSIN,"Waushara County, WI, USA",44.11311,-89.242877,Wautoma,209 St. Marie St.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE, County Courthouses of Wisconsin TR, 1030741846;1020751833;0502783014;1031771749;0902712;02047721,82000729,Multiple,https://catalog.archives.gov/id/106779824,Waushara,3,0,0,0,2,-100,1,-100,0.5,-100,0.5,0
74000144,Oshkosh Grand Opera House,WISCONSIN,"Winnebago County, WI, USA",44.069109,-88.644646,Oshkosh,100 High Ave.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,74000144,Single,https://catalog.archives.gov/id/106783061,Winnebago,90,0,17,100,33,-257.15,25,-257.15,7,-257.15,8,12.5
74000146,Wakeley's Tavern,WISCONSIN,"Wood County, WI, USA",44.467104,-90.057421,Nekoosa,W end of Wakeley Rd.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,, Old Ferry Farm,74000146,Single,https://catalog.archives.gov/id/106783151,Wood,22,0,2,100,1,61.54,5,61.54,13,61.54,2,-550
,"Historical and Architectural Resources of Eliot, Maine MPS",,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,100000907,Multiple Cover Sheet,,,,,,,,,,,,,,
