Property Name,City ,Street & Number,Other Names,County,Total #,1960s,1970s,1970s_change,1980s,1980s_change,1990s,1990s_change,2000s,2000s_change,2010s,2010s_change
"Church, Benjamin, House",Shorewood,"Parkway Dr., Eastabrook Park", Kilbourntown House,Milwaukee,268,0,43,100,115,-27.59,37,-27.59,29,-27.59,44,34.1
Tomah Public Library,Tomah,716 Superior Ave.,,Monroe,13,0,1,100,5,33.34,2,33.34,3,33.34,2,-50
Oconto Site,Oconto,Copper Culture State Park,,Oconto,26,1,7,85.72,5,57.15,3,57.15,7,57.15,3,-133.34
First National Bank,Rhinelander,8 W. Davenport St.,,Oneida,25,0,1,100,2,53.85,6,53.85,13,53.85,3,-333.34
"Grignon, Charles A., House",Kaukauna,Augustine St.,,Outagamie,50,0,5,100,23,-140,12,-140,5,-140,5,0
Covered Bridge,Cedarburg,1 Mi. N of Five Corners over Cedar Creek,,Ozaukee,41,0,9,100,8,54.55,5,54.55,11,54.55,8,-37.5
Durand Free Library,Durand,315 W. 2nd Ave.,,Pepin,2,0,0,0,2,-100,1,-100,0.5,-100,0.5,0
Diamond Bluff Site-Mero Mound Group,Diamond Bluff,Address Restricted, Mero Archeological District,Pierce,10,0,2,100,3,0,2,0,2,0,1,-100
Seven Pines Lodge,Lewis,SE of Lewis of WI 35, Charles E. Lewis Estate,Polk,14,0,1,100,6,83.34,1,83.34,6,83.34,1,-500
"Morgan, J. H., House",Plover,1308 Madison Ave.,,Portage,20,0,4,100,4,-100,6,-100,3,-100,3,0
"Johnson, Albin, Log House",Ogema,E of Ogema, Our Yesterday House,Price,13,0,3,100,3,50,2,50,4,50,1,-300
First Presbyterian Church,Racine,716 College Ave.,,Racine,56,0,18,100,21,20,4,20,5,20,8,37.5
"A. D. German Wholesale Company and Warehouse, Additional Documentation",Richland Center,"177 E. Haseltine St., 316 S. Church St.",,Richland,16,0,1,100,3,0,6,0,6,0,0.5,-1100
Tallman House,Janesville,440 N. Jackson St., Lincoln-Tallman House; Tallman Homestead,Rock,141,0,39,100,59,-77.78,16,-77.78,9,-77.78,18,50
Flambeau Mission Church,Ladysmith,W of Ladysmith, St. Francis of Assisi Mission Church,Rusk,3,0,1,100,1,0,0.5,0,0.5,0,1,50
Ringling Brothers Circus Headquarters,Baraboo,"Bounded roughly by Water, Brian, Lynn, and East Sts.", Ringlingville,Sauk,59,1,7,85.72,21,-120,11,-120,5,-120,14,64.29
Hall-Raynor Stopping Place,Ojibwa,N of Ojibwa on WI G, The Raynor Place,Sawyer,4,0,1,100,2,-100,1,-100,0.5,-100,1,50
Lutheran Indian Mission,Gresham,NE of Gresham on WI G, Immanuel Mohican Lutheran Church,Shawano,6,0,0,0,1,0,2,0,2,0,1,-100
"Wade, Sylvanus, House",Greenbush,At jct. of WI 23 and Kettle Maraine Dr. in Old Wade House State Park, Old Wade House,Sheboygan,57,0,6,100,20,-14.29,8,-14.29,7,-14.29,16,56.25
"Moffat, John S., House",Hudson,1004 3rd St.,,St. Croix,31,0,3,100,25,66.67,1,66.67,3,66.67,0.5,-500
Jump River Town Hall,Jump River,S of WI 73, McKinley Town Hall,Taylor,8,0,1,100,4,-100,2,-100,1,-100,0.5,-100
Schwert Mound Group,Trempealeau,Address Restricted, Trempealeau Lakes Mound Group Tr 31 and Second Lake Village,Trempealeau,16,0,2,100,9,-50,3,-50,2,-50,0.5,-300
Hanson Petroglyphs,Viola,Address Restricted, ,Vernon,24,0,5,100,6,-50,6,-50,4,-50,3,-33.34
Strawberry Island Site,Lac du Flambeau,Address Restricted, ,Vilas,18,0,1,100,0.5,-80,9,-80,5,-80,3,-66.67
"Webster, Joseph P., House",Elkhorn,9 E. Rockwell St.,,Walworth,47,0,10,100,13,-50,9,-50,6,-50,9,33.34
"Siegner, George V., House",Spooner,513 Dale St.,,Washburn,2,0,0,0,2,-100,1,-100,0.5,-100,0.5,0
Lizard Mound State Park,West Bend,NE of West Bend,,Washington,28,0,3,100,12,0,5,0,5,0,3,-66.67
Chapel of St. Mary the Virgin,Nashotah,2 mi. SW of Nashotah on Nashotah House Rd.,,Waukesha,155,0,18,100,99,-575,27,-575,4,-575,7,42.86
"Kasper, Philip H., Cheese Factory",Bear Creek,W of Bear Creek on WI 22, Nicholson Cheese Factory,Waupaca,25,0,2,100,11,77.78,2,77.78,9,77.78,1,-800
"Waushara County Courthouse, Waushara County Sheriff's Residence and Jail",Wautoma,209 St. Marie St., ,Waushara,3,0,0,0,2,-100,1,-100,0.5,-100,0.5,0
Oshkosh Grand Opera House,Oshkosh,100 High Ave.,,Winnebago,90,0,17,100,33,-257.15,25,-257.15,7,-257.15,8,12.5
Wakeley's Tavern,Nekoosa,W end of Wakeley Rd., Old Ferry Farm,Wood,22,0,2,100,1,61.54,5,61.54,13,61.54,2,-550
